0	156.701
1	1043.58
2	39.4954
3	8.6881
4	0
5	2.73333
6	484.095
7	358.355
8	85.1688
9	441.952
10	74.1285
11	0
12	0
13	1380.22
14	408.302
15	1696.74
16	12.6667
17	727.776
18	119.513
19	231.856
20	624.855
21	54.0226
22	0
23	64.1097
24	98.2412
25	5.78333
26	17.7587
27	132.462
28	262.374
29	516.26
30	186.755
31	0
32	454.938
33	382.978
34	397.599
35	0
36	920.467
37	866.459
38	560.186
39	113.004
40	923.085
41	33.5058
42	163.92
43	718.645
44	53.8389
45	299.781
46	11.011
47	83.4099
48	0
49	3.4
50	192.673
51	872.759
52	43.9178
53	4.36667
54	185.323
55	22.9687
56	1.68571
57	317.747
58	0
59	79.4644
60	0
61	76.6171
