0	2.60656
1	2.65574
2	3.44262
3	3.09836
4	3.86885
5	4.32787
6	3.39344
7	2.72131
8	2.70492
9	3.37705
10	3
11	3.86885
12	3.65574
13	2.7377
14	2.59016
15	2.42623
16	3
17	3.04918
18	2.57377
19	3.08197
20	2.52459
21	2.85246
22	4.03279
23	2.96721
24	2.67213
25	3.83607
26	3.57377
27	3.16393
28	2.70492
29	2.81967
30	3.01639
31	4.03279
32	3.45902
33	2.67213
34	3.13115
35	3.80328
36	2.37705
37	2.47541
38	3
39	3
40	2.40984
41	3.18033
42	2.93443
43	2.93443
44	3.18033
45	2.4918
46	3.86885
47	2.86885
48	4.11475
49	4.01639
50	2.70492
51	2.88525
52	2.85246
53	3.81967
54	3.01639
55	3.16393
56	4.34426
57	3.13115
58	3.98361
59	2.77049
60	4.44262
61	3.27869
